FIELD, LONG NAME, TYPE, INTERPRETATION
SystemID,System ID,Int,
Type,Type,Small,Lookup
Area,Area,Small,Lookup
ListPrice,List Price,Int,Currency
AddrNumber,Address Number,Character,
AddrDrctn,Address Direction,Character,
AddrStreet,Address Street,Character,
City,City,Character,Lookup
Province,Province,Character,Lookup
PostalCode,Postal Code,Character,
ListDsg1,List Desig Agt 1,Int,
Firm1Code,List Firm 1 Code,Small,
ListDsg2,List Desig Agt 2,Int,
List2PubID,List Firm 2 Code,Small,
ListDsg3,List Desig Agt 3,Int,
LstRlt3OID,List Firm 3 Code,Small,
ListDate,List Date,Date,
ExpDate,Expiry Date,Date,
OrigPrice,Original Price,Int,Currency
LegalDesc,Legal Description,Character,
SoldDate,Sold Date,Date,
SoldPrice,Sold Price,Int,Currency
EntryDate,Entry Date,DateTime,
LastTrDate,Last Trans Date,DateTime,
PhotoCount,Photo Count,Int,
PhotoDate,PhotoTimestamp,DateTime,
OffMktDate,Search Date,Date,
MLNo,ML #,Character,
AddrNumLow,Address Number Low,Character,
AddrUnit,Address Unit,Character,
StreetDesg,Street Designation,Int,Lookup
Address,Address,Character,
Status,Status,Character,Lookup
DOM,DOM,Int,
DOMLS,DOMLS,Int,
CDOM,Cumulative DOM,Int,
CDOMLS,Cumulative DOMLS,Int,
PriPerSQFT,Price Per SQFT,Decimal,
Municiplty,Municipality,Character,Lookup
RD,Region,Character,Lookup
SOrA,Sub-Area/Community,Character,Lookup
BoardID,Short Region Code,Character,Lookup
TitletoLnd,Title to Land,Character,Lookup
PrDsclYOrN,Property Disclosure,Character,Lookup
TaxUtlIncl,Tax Utilities Incl,Character,Lookup
FloodPln,Flood Plain,Character,Lookup
Zoning,Zoning,Character,
View,View,Character,Lookup
MgrrNomApr,Mgr/Nominee Approval,Character,
PropDiscl,Prop Disclosure Statement,Character,
CmplxrSubd,Complex/Subdivision Name,Character,
LndLseExpr,Land Lease Expiry Year,Small,
ForTaxYr,For Tax Year,Small,
FrontageFt,Frontage - Feet,Decimal,
FrontMetre,Frontage - Metres,Decimal,
PercTestDt,Perc Test Date,Date,
CnclProtDt,Cancel Protection Date,Date,
ProcDate,Processed Date,Date,
Rezone,Potential for Rezoning?,Character,Lookup
BldgPrmtAp,Bldg Permit Approved?,Character,Lookup
SktchAtch,Sketch Attached?,Character,Lookup
InfoPkgAvl,Info Package Available?,Character,Lookup
Trees,Trees(Logged in last 2yr),Character,Lookup
PropType,Prop Type,Character,Lookup
GSTIncl,GST Incl,Character,
MeasType,Measurement Type,Character,Lookup
DevPermit,Development Permit?,Character,Lookup
LandUse,Permitted Land Use,Character,Lookup
ALR,Prop in Lnd Reserve?(ALR),Character,Lookup
SanitrySwr,Sanitary Sewer,Character,Lookup
StormSwr,Storm Sewer,Character,Lookup
Electricty,Electricity,Character,Lookup
NaturalGas,Natural Gas,Character,Lookup
PhoneServ,Telephone Service,Character,Lookup
Prospectus,Prospectus,Character,Lookup
BldgPlans,Building Plans,Character,Lookup
PercTstAvl,Perc Test Available?,Character,Lookup
SignonProp,Sign on Property?,Character,
Fencing,Fencing,Character,Lookup
AccestoPrp,Access to Property,Character,Lookup
Depth,Depth,Character,
WtrSupply,Water Supply,Character,Lookup
PID,P.I.D.#,Character,
VwSpecify,View - Specify,Character,
Commission,Commission,Character,
PrevPrice,Prev Price,Int,
LotSzSF,Lot Sz (Sq.Ft.),Decimal,
LotSzA,Lot Sz (Acres),Decimal,
LotSzSqMtr,Lot Sz (Sq.Mtrs.),Decimal,
