FIELD, LONG NAME, TYPE, INTERPRETATION,
SystemID,System ID,Int,,
Type,Type,Small,Lookup,
Area,Area,Small,Lookup,
ListPrice,List Price,Int,Currency,
AddrNumber,Address Number,Character,,
AddrDrctn,Address Direction,Character,,
AddrStreet,Address Street,Character,,
City,City,Character,Lookup,
Province,Province,Character,Lookup,
PostalCode,Postal Code,Character,,
ListDsg1,List Desig Agt 1,Int,,
Firm1Code,List Firm 1 Code,Small,,
ListDsg2,List Desig Agt 2,Int,,
List2PubID,List Firm 2 Code,Small,,
ListDsg3,List Desig Agt 3,Int,,
LstRlt3OID,List Firm 3 Code,Small,,
ListDate,List Date,Date,,
ExpDate,Expiry Date,Date,,
OrigPrice,Original Price,Int,Currency,
LegalDesc,Legal Description,Character,,
SoldDate,Sold Date,Date,,
SoldPrice,Sold Price,Int,Currency,
EntryDate,Entry Date,DateTime,,
LastTrDate,Last Trans Date,DateTime,,
PhotoCount,Photo Count,Int,,
PhotoDate,PhotoTimestamp,DateTime,,
OffMktDate,Search Date,Date,,
MLNo,ML #,Character,,
AddrNumLow,Address Number Low,Character,,
AddrUnit,Address Unit,Character,,
StreetDesg,Street Designation,Int,Lookup,
Address,Address,Character,,
Status,Status,Character,Lookup,
DOM,DOM,Int,,
DOMLS,DOMLS,Int,,
CDOM,Cumulative DOM,Int,,
CDOMLS,Cumulative DOMLS,Int,,
PriPerSQFT,Price Per SQFT,Decimal,,
Bth1Ensuit,Bath1 Ensuite?,Character,Lookup,
Bth2Ensuit,Bath2 Ensuite?,Character,Lookup,
Bth3Ensuit,Bath3 Ensuite?,Character,Lookup,
Bth4Ensuit,Bath4 Ensuite?,Character,Lookup,
Bth5Ensuit,Bath5 Ensuite?,Character,Lookup,
Bth6Ensuit,Bath6 Ensuite?,Character,Lookup,
Bth7Ensuit,Bath7 Ensuite?,Character,Lookup,
BthEnsuit,Bath8 Ensuite?,Character,Lookup,
FxtRemYOrN,Fixtures Removed Y/N,Character,Lookup,
FixtRtOrLs,Fixtures Rntd/Lsd?,Character,Lookup,
Locker,Locker,Character,Lookup,
CounclAprv,Council Apprv,Character,Lookup,
Cats,Cats,Character,Lookup,
Dogs,Dogs,Character,Lookup,
Municiplty,Municipality,Character,Lookup,
RD,Region,Character,Lookup,
SOrA,Sub-Area/Community,Character,Lookup,
BoardID,Short Region Code,Character,Lookup,
Clss,Dwelling Classification,Character,Lookup,
TypeDwel,Type of Dwelling,Character,Lookup,
TitletoLnd,Title to Land,Character,Lookup,
PrDsclYOrN,Property Disclosure,Character,Lookup,
AgeType,Age Type,Character,Lookup,
TaxUtlIncl,Tax Utilities Incl,Character,Lookup,
FloodPln,Flood Plain,Character,Lookup,
Zoning,Zoning,Character,,
Found,Foundation,Character,Lookup,
RainScr,Rain Screen,Character,Lookup,
View,View,Character,Lookup,
RghdInBth,Roughed In Plumbing,Character,Lookup,
Room1Type,Room 1 Type,Character,Lookup,
Room14Dim2,Room 14 Dimension 2,Character,,
Room15Lev,Room 15 Level,Character,Lookup,
Room15Type,Room 15 Type,Character,Lookup,
Room15Dim1,Room 15 Dimension 1,Character,,
Room15Dim2,Room 15 Dimension 2,Character,,
GarageSz,Out Bldgs-Garage Sz,Character,,
DoorHght,Garage Door Ht,Character,,
Room26Lev,Room 26 Level,Character,Lookup,
Room26Type,Room 26 Type,Character,Lookup,
Room26Dim1,Room 26 Dimension 1,Character,,
Room26Dim2,Room 26 Dimension 2,Character,,
Room27Lev,Room 27 Level,Character,Lookup,
Room27Type,Room 27 Type,Character,Lookup,
