key, en
Type:23, House/Single Family
Type:24, Duplex
Type:25, Triplex
Type:26, Fourplex
Type:27, Mixed
Type:28, Recreational
Type:29, Other
Area:1, Bowen Island
Area:2, Burnaby East
Area:3, Burnaby North
Area:4, Burnaby South
Area:5, Coquitlam
Area:6, Islands-Van. & Gulf
Area:7, Ladner
Area:8, Maple Ridge
Area:9, North Vancouver
Area:10, New Westminster
Area:11, Pemberton
Area:12, Pitt Meadows
Area:13, Port Moody
Area:14, Port Coquitlam
Area:15, Richmond
Area:16, Sunshine Coast
Area:17, Squamish
Area:18, Tsawwassen
Area:19, Vancouver East
Area:20, Vancouver West
Area:21, Whistler
Area:22, West Vancouver
Area:23, N. Delta
Area:24, North Surrey
Area:25, Surrey
Area:26, Cloverdale
Area:27, South Surrey White Rock
Area:28, Langley
Area:29, Abbotsford
Area:30, Mission
Area:31, FVREB Out of Town
Area:32, Out of Town
Area:33, 100 Mile House (Zone 10)
Area:34, Williams Lake (Zone 27)
Area:35, Quesnel (Zone 28)
Area:36, Prince Rupert (Zone 52)
Area:37, Houston (Zone 53)
Area:38, Smithers And Area (Zone 54)
Area:39, Burns Lake (Zone 55)
Area:40, Vanderhoof And Area (Zone 56)
Area:41, Fort St. James (Zone 57)
Area:42, Fort St. John (Zone 60)
Area:43, Fort Nelson (Zone 64)
Area:44, Mackenzie (Zone 69)
Area:45, PG City West (Zone 71)
Area:46, PG City Central (Zone 72)
Area:47, PG City North (Zone 73)
Area:48, PG City South (Zone 74)
Area:49, PG City South East (Zone 75)
Area:50, PG Rural North (Zone 76)
Area:51, PG Rural West (Zone 77)
Area:52, PG Rural South (Zone 78)
Area:53, PG Rural East (Zone 80)
Area:54, Robson Valley (Zone 81)
Area:55, Terrace (Zone 88)
Area:56, Kitimat (Zone 89)
Area:57, BCNREB Out of Area
Area:58, FRV Fake Area
Area:59, VAN Fake Area
Area:60, CHI Fake Area
Area:61, BCN Fake Area
Area:62, Agassiz
Area:63, Harrison Hot Springs
Area:64, Harrison Mills / Mt Woodside
Area:65, Hope
